Timestamp,first_year,second_year,third_year,fourth_year,sex,ethnicity_white,ethnicity_black,ethnicity_asian,ethnicity_native,ethnicity,lgbt,fgli,hum_major,stem_major,ss_major,art_major,greek,varsity,used_stims,belief
11/3/2021 18:50:03,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11/3/2021 18:50:46,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1
11/3/2021 18:59:24,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11/3/2021 19:04:59,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
11/3/2021 22:48:37,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1
11/4/2021 13:20:46,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11/4/2021 15:58:20,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11/4/2021 17:45:56,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
11/4/2021 22:42:49,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
11/4/2021 22:43:25,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
11/4/2021 22:43:29,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
11/4/2021 22:44:07,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
11/4/2021 22:44:11,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
11/4/2021 22:44:57,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
11/4/2021 22:47:36,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
11/4/2021 22:48:04,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
11/4/2021 22:48:18,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
11/4/2021 22:50:19,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
11/4/2021 22:50:47,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
11/4/2021 22:51:02,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11/4/2021 22:51:17,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
11/4/2021 22:52:18,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11/4/2021 22:53:00,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
11/4/2021 22:57:56,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11/4/2021 22:58:08,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
11/4/2021 23:02:20,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
11/4/2021 23:11:33,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11/4/2021 23:23:47,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11/4/2021 23:26:07,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
11/4/2021 23:32:52,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
11/4/2021 23:33:29,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
11/4/2021 23:39:42,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
11/4/2021 23:46:10,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
11/4/2021 23:46:43,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
11/4/2021 23:54:22,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
11/4/2021 23:57:09,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
11/4/2021 23:57:51,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
11/5/2021 0:04:28,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
11/5/2021 0:16:04,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0
11/5/2021 0:22:40,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
11/5/2021 0:46:18,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0
11/5/2021 1:12:50,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
11/5/2021 1:30:14,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
11/5/2021 1:32:15,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
11/5/2021 1:32:50,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
11/5/2021 1:32:51,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
11/5/2021 1:33:04,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
11/5/2021 1:33:10,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11/5/2021 1:34:47,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11/5/2021 1:37:09,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
11/5/2021 1:42:33,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
11/5/2021 1:56:55,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11/5/2021 2:03:42,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1
11/5/2021 2:47:31,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
11/5/2021 3:18:52,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
11/5/2021 3:24:09,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
11/5/2021 3:26:30,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
11/5/2021 8:24:03,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1
11/5/2021 10:03:16,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1
11/5/2021 10:12:05,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
11/5/2021 10:25:06,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
11/5/2021 10:29:07,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
11/5/2021 10:36:09,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
11/5/2021 11:15:52,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11/5/2021 11:43:35,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11/5/2021 12:52:33,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
